                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9952,                 3.1092,                 2.5916,                0.61172,                0.42682,                0.43752,                0.20096,                 2.0905,                 3.5666,                 1.8113,             0.00066501,             0.00066501,             0.00066501
                      2,                 1.9585,                 1.6287,                 1.6071,                0.78263,                0.56606,                0.66113,                 0.3506,                 1.8227,                 1.5602,                 1.6101,             0.00089222,             0.00089222,             0.00089222
                      3,                 1.7729,                 1.3296,                 1.4622,                0.84448,                0.64013,                0.75314,                0.41321,                 1.6637,                 1.2389,                 1.5045,             0.00067944,             0.00067944,             0.00067944
