                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2285,                0.57793,                 1.1501,                0.92229,                0.87077,                0.93343,                0.57796,                 1.2574,                0.55206,                 1.1795,              0.0033316,              0.0033316,              0.0033316
                      2,                  1.223,                0.57763,                 1.1422,                0.91887,                0.86766,                0.93183,                0.57662,                 1.2563,                0.55882,                 1.1759,              0.0061936,              0.0061936,              0.0061936
                      3,                 1.2199,                0.54961,                 1.1648,                0.91594,                0.85992,                0.92657,                 0.5696,                 1.2762,                0.58503,                 1.1832,              0.0083485,              0.0083485,              0.0083485
                      4,                 1.2347,                0.56082,                 1.1724,                0.91597,                0.85393,                0.92523,                0.57057,                 1.2772,                0.57721,                 1.1866,                 0.0073,                 0.0073,                 0.0073
