                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4777,                  3.997,                 2.9438,                0.45399,                 0.2847,                0.28357,                0.13011,                 2.3073,                  2.788,                 1.9541,             0.00066501,             0.00066501,             0.00066501
                      2,                   2.23,                 2.1201,                 1.7663,                0.67529,                 0.4524,                0.52241,                0.26187,                 1.9464,                 2.0049,                 1.6755,             0.00089222,             0.00089222,             0.00089222
                      3,                 1.9873,                 1.6902,                 1.5852,                0.75072,                0.54715,                0.63684,                0.32114,                 1.8729,                 1.5669,                 1.6116,             0.00067944,             0.00067944,             0.00067944
