                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8981,                 2.3964,                 1.8829,                0.73293,                0.59817,                0.64467,                0.30299,                 1.7625,                  1.546,                 1.9928,             0.00055526,             0.00055526,             0.00055526
                      2,                  1.783,                 1.4464,                 1.7975,                0.81094,                0.66585,                0.73346,                0.37481,                 1.6844,                 1.2304,                 1.9338,              0.0010559,              0.0010559,              0.0010559
                      3,                 1.7426,                 1.3248,                 1.7591,                 0.8258,                0.69151,                0.75638,                0.39295,                 1.6408,                 1.1612,                 1.8834,              0.0015016,              0.0015016,              0.0015016
                      4,                 1.7169,                 1.2575,                 1.7344,                0.84196,                 0.6924,                0.77014,                0.40562,                 1.6106,                 1.1223,                 1.8737,              0.0014195,              0.0014195,              0.0014195
