Time_stamp,Number_of_people
12:47:16,0
12:48:07,1
12:49:45,0
12:55:13,0
13:06:29,0
13:07:27,0
13:11:05,0
13:25:55,0
13:28:04,0
13:32:31,0
13:33:19,1
13:33:26,0
13:36:53,0
13:43:10,0
13:43:25,1
13:43:43,2
13:43:43,1
13:43:49,2
13:43:54,3
13:43:54,2
13:43:59,3
13:44:32,2
13:44:37,3
13:44:39,4
13:44:40,3
13:44:51,4
13:45:15,5
13:45:16,4
13:45:22,5
13:45:28,4
13:45:32,5
13:45:37,6
13:45:38,5
13:45:42,6
13:46:13,7
13:46:14,6
13:46:17,7
13:46:22,8
13:46:22,7
13:46:34,8
13:46:40,9
13:46:40,8
13:46:45,9
13:46:59,10
13:46:59,9
13:47:03,10
13:47:20,11
13:47:20,10
13:47:25,11
13:47:29,12
13:47:29,11
13:47:33,12
13:53:44,0
13:54:15,1
13:54:15,0
13:54:18,1
13:54:24,2
13:54:24,1
13:54:27,2
13:54:38,3
13:54:39,2
13:54:44,3
13:55:03,4
13:55:03,3
13:55:12,4
13:55:20,3
13:55:24,4
13:55:29,5
13:55:30,4
13:55:33,5
13:55:41,6
13:55:42,5
13:55:45,6
14:04:01,0
14:04:10,1
14:04:11,0
14:04:17,1
14:10:39,0
14:12:01,0
14:13:00,1
14:13:00,0
14:13:07,1
14:13:34,2
14:13:35,1
14:13:39,2
14:15:38,0
14:15:51,1
14:15:51,0
14:15:56,1
14:20:27,0
14:20:41,1
14:20:41,0
14:20:45,1
14:20:59,2
14:20:59,1
14:21:03,2
14:25:31,0
14:25:46,1
14:25:46,0
14:25:50,1
14:36:11,0
14:36:34,1
14:36:34,0
14:36:39,1
14:36:49,0
14:36:53,1
14:37:00,0
14:37:09,1
14:37:35,0
14:37:40,1
14:37:46,0
14:37:49,1
14:37:54,0
14:38:00,1
14:38:46,0
14:39:18,1
14:39:18,0
14:39:23,1
14:39:28,2
14:39:28,1
14:39:35,2
14:40:23,0
14:41:08,1
14:41:13,2
14:45:16,0
14:45:19,0
14:45:21,1
14:45:24,2
14:45:24,1
14:45:24,2
14:45:25,3
14:47:07,0
14:47:15,1
14:47:15,0
14:47:22,1
14:47:35,2
14:47:35,1
14:48:35,0
14:48:42,1
14:48:42,0
14:48:50,1
14:49:03,0
14:49:04,1
14:49:09,2
14:54:52,0
14:55:13,1
14:56:14,0
14:56:35,1
14:56:38,2
14:56:46,1
14:56:46,2
14:56:47,1
14:56:53,2
14:57:35,1
14:57:43,2
14:59:19,0
14:59:58,1
14:59:58,0
15:00:08,1
15:00:23,0
15:00:31,1
15:00:44,0
15:00:51,1
15:00:56,0
15:01:04,1
22:19:11,0
